player,position,team,age,games played,minutes per game,% of game,% of team plays,turnover per possession,attempted free throws,free throw %,2-point shots attempted,2-point field goal %,3-point shots attempted,3-point shot field goal %,true shooting %,points per game,rebounds per game,total rebound %,assists per game,assist %,steals per game,blocks per game,versatility index
Rajon Rondo,point guard,Dal,28,2,18.6,38.8,24.2,0.091,0,0,18,0.444,2,0.5,0.475,9.5,1,2.8,3,25.8,0,0,6.6
Ramon Sessions,point guard,Was,28,10,21.8,45.4,18,0.113,19,0.684,45,0.356,25,0.4,0.479,7.5,2.4,6,2.3,16.2,0.4,0.1,6.3
Raymond Felton,point guard,Dal,30,3,12,25.1,18.5,0,3,1,11,0.364,4,0,0.337,3.7,2.3,10,1.3,14.6,0,0,7.4
Richard Jefferson,small forward,Dal,34,4,12.7,26.4,14.4,0.168,2,1,6,0.333,8,0.375,0.504,3.8,0.5,2,0.3,2.6,0.5,0,2.6
Robin Lopez,center,Por,26,5,23.4,48.8,9.2,0.213,8,1,15,0.6,0,0,0.702,5.2,4.4,10.1,0.6,4.1,0.2,1,4.1
Ryan Anderson,power forward,Nor,26,4,23.7,49.5,20.5,0.094,6,1,24,0.458,12,0.417,0.556,10.8,4.5,10.5,2.3,15.7,0,0.5,8.1
Shaun Livingston,point guard,Gol,29,21,17.8,37.2,13.3,0.189,25,0.84,78,0.538,1,0,0.583,5,2.4,7.4,1.8,15.1,0.38,0.24,6.3
Shelvin Mack,point guard,Atl,24,10,9.9,20.6,20.1,0.046,6,0.5,18,0.5,21,0.286,0.468,3.9,1.1,5.9,1,16.6,0.8,0,6.6
Spencer Hawes,power forward,Lac,26,8,7.1,14.7,14.5,0.053,2,1,11,0.545,6,0.5,0.643,2.9,1.6,12.1,0.6,13.4,0.25,0.38,7.9
Stephen Curry,point guard,Gol,26,21,39.3,81.9,31,0.143,115,0.835,207,0.493,232,0.422,0.607,28.3,5,6.9,6.3,29.7,1.86,0.14,9.8
Steve Blake,point guard,Por,34,5,8.5,17.8,14.9,0.144,2,1,3,0.333,8,0.125,0.295,1.4,0.2,1.3,1.6,28.9,0,0.2,3.6
Taj Gibson,power forward,Chi,29,12,23,48,15.9,0.114,30,0.7,72,0.472,0,0,0.522,7.4,5.5,13.1,1,7.3,0.33,1,6
Terrence Jones,power forward,Hou,23,17,23.6,49.1,20.7,0.08,54,0.667,140,0.457,19,0.158,0.473,10.2,4.8,10.5,1,6.9,0.47,0.71,6.2
Terrence Ross,small forward,Tor,23,4,26.7,55.5,13.1,0.065,0,0,11,0.455,18,0.333,0.483,7,1.5,3.2,1,5.8,0.75,1,3.3
Thaddeus Young,power forward,Bro,26,6,31.7,66.1,20.5,0.164,12,0.417,62,0.468,4,0,0.442,10.5,7.2,12.2,2.7,14.3,0.83,0.17,7.4
Tiago Splitter,center,San,30,7,17.6,36.7,14.3,0.178,19,0.316,24,0.375,0,0,0.371,3.4,4.4,13.4,1.3,10.2,0.57,0.14,6.1
Tim Duncan,power forward,San,38,7,35.7,74.4,20.1,0.063,34,0.559,89,0.596,1,0,0.595,17.9,11.1,16.6,3.3,16,1.29,1.43,9.7
Timofey Mozgov,center,Cle,28,20,26.4,55.1,18.9,0.168,81,0.79,148,0.5,0,0,0.577,10.6,7.3,15.2,0.7,4.3,0.4,1.8,5.7
Tony Allen,shooting guard,Mem,33,10,27.9,58.1,12.3,0.173,12,0.75,50,0.54,7,0.143,0.53,6.6,5.2,10.3,1.5,8.4,2.4,1.1,5.3
Tony Parker,point guard,San,32,7,30,62.5,23.4,0.1,17,0.588,82,0.402,9,0,0.386,10.9,3.3,5.8,3.6,18.9,0.29,0,6.7
Tony Snell,small forward,Chi,23,11,12.7,26.5,16.5,0.099,4,1,17,0.353,27,0.333,0.47,3.9,1.5,6.7,0.5,7,0,0.27,4.5
Trevor Ariza,small forward,Hou,29,17,38.5,80.3,13.8,0.102,42,0.905,80,0.488,96,0.375,0.576,13.2,6.4,8.6,2.6,10.1,1.76,0.12,6.3
Tristan Thompson,power forward,Cle,23,20,36.3,75.7,11.2,0.083,82,0.585,129,0.558,0,0,0.582,9.6,10.8,16.4,0.5,2,0.25,1.2,4.1
Tyler Ennis,point guard,Mil,20,1,16.4,34.1,24.7,0,0,0,4,0.25,5,0.2,0.278,5,4,12.9,3,32.4,0,0,9.5
Tyler Hansbrough,power forward,Tor,29,4,11.9,24.8,8.3,0.228,4,0.75,5,0.2,0,0,0.37,1.3,1.5,7.2,0.8,8.7,0.5,0.25,3.9
Tyler Zeller,center,Bos,25,4,22.4,46.7,17.5,0.114,5,0.8,29,0.517,0,0,0.545,8.5,4.5,11,0.5,4,0.5,0.25,4.8
Tyreke Evans,small forward,Nor,25,4,31.3,65.3,20.6,0.106,17,0.588,32,0.375,11,0.182,0.396,10,5,8.9,5,24.2,1.25,0.25,8.1
Tyson Chandler,center,Dal,32,5,32.1,66.9,11.6,0.11,26,0.5,29,0.655,0,0,0.631,10.2,10.8,17.3,0.2,0.8,0.6,1.2,3.5
Vince Carter,shooting guard,Mem,38,11,17.8,37.1,18.2,0.09,9,0.889,39,0.513,28,0.25,0.486,6.3,4.3,13.2,1,9.3,0.64,0.18,6.7
Will Bynum,shooting guard,Was,32,3,10.5,21.9,29.8,0.236,5,0.8,12,0.5,2,0.5,0.586,6.3,1,5.2,1,17.4,0.67,0.33,7
Zach Randolph,power forward,Mem,33,11,34.7,72.4,24.6,0.112,33,0.879,163,0.429,5,0.2,0.471,15.6,8.5,13.4,2.1,10.8,0.55,0,7.5
Zaza Pachulia,center,Mil,30,6,21.4,44.7,17.7,0.099,13,0.615,40,0.4,0,0,0.437,6.7,6.7,16.5,1.5,12.4,1.67,0.5,7
